iter	RMSE
0	79113.07243
1	78466.91425
2	77942.09612
3	77468.89194
4	77066.66311
5	76710.13673
6	76413.52649
7	76145.49363
8	75926.0603
9	75732.15493
10	75537.44392
11	75382.7479
12	75219.49137
13	75084.11773
14	74970.19613
15	74851.4524
16	74753.46587
17	74653.81834
18	74582.30429
19	74509.33418
20	74434.1779
21	74356.8961
22	74296.36745
23	74225.34885
24	74170.93284
25	74117.82368
26	74054.30742
27	74003.57528
28	73956.1116
29	73914.70802
30	73868.35707
31	73819.76501
32	73794.66522
33	73748.13713
34	73725.79247
35	73683.71236
36	73633.58237
37	73614.65907
38	73596.6942
39	73563.27034
40	73533.26701
41	73502.53504
42	73470.32403
43	73429.56433
44	73410.01742
45	73393.7434
46	73363.27866
47	73336.74694
48	73284.11405
49	73249.71182
50	73225.94136
51	73210.98497
52	73184.2638
53	73152.7151
54	73106.29893
55	73076.55231
56	73034.93439
57	73010.94658
58	72972.5185
59	72943.15388
60	72919.51881
61	72885.5007
62	72870.785
63	72838.88897
64	72811.77188
65	72798.02489
66	72794.15064
67	72780.94623
68	72749.58588
69	72736.94364
70	72719.98801
71	72691.36364
72	72662.32459
73	72624.54728
74	72589.48777
75	72563.59517
76	72529.47395
77	72504.62737
78	72469.61972
79	72458.73106
80	72436.26896
81	72412.72601
82	72373.614
83	72345.68303
84	72332.50307
85	72310.00382
86	72291.44282
87	72253.09206
88	72245.05511
89	72234.63534
90	72190.74574
91	72169.12365
92	72151.28497
93	72131.94825
94	72117.79798
95	72093.4202
96	72074.94358
97	72060.82861
98	72051.12067
99	72036.24312
100	72018.43722
101	71993.82084
102	71963.11063
103	71939.15444
104	71921.33438
105	71894.78288
106	71866.69858
107	71850.66817
108	71820.99887
109	71795.08671
110	71788.25697
111	71749.27943
112	71719.49317
113	71689.47195
114	71672.01852
115	71648.60788
116	71621.32599
117	71600.50682
118	71576.97591
119	71549.98789
120	71537.96651
121	71535.15939
122	71520.49556
123	71488.45516
124	71472.3043
125	71456.72933
126	71432.83722
127	71421.40017
128	71395.59977
129	71371.54212
130	71334.83026
131	71319.39332
132	71308.01522
133	71285.11436
134	71262.67386
135	71229.64476
136	71201.33533
137	71191.4278
138	71171.86446
139	71150.9777
140	71127.72377
141	71087.40114
142	71071.79709
143	71046.93097
144	71005.86107
145	70991.31335
146	70977.70631
147	70955.83592
148	70935.65491
149	70920.88842
150	70882.91203
151	70860.17751
152	70847.71837
153	70811.24861
154	70780.00678
155	70765.20108
156	70755.69032
157	70720.80609
158	70687.01458
159	70672.90007
160	70652.71219
161	70617.55631
162	70599.03847
163	70563.35144
164	70539.5617
165	70505.35493
166	70490.63815
167	70481.89989
168	70468.39667
169	70444.28384
170	70432.3214
171	70420.91412
172	70408.69336
173	70378.38044
174	70364.40671
175	70328.86062
176	70311.39389
177	70294.93318
178	70265.04848
179	70257.0288
180	70219.53422
181	70195.91052
182	70176.49357
183	70158.15802
184	70138.71704
185	70125.15911
186	70097.76232
187	70067.37029
188	70039.6585
189	70011.89879
190	69994.26374
191	69976.18196
192	69948.41482
193	69929.5272
194	69918.96149
195	69905.99115
196	69871.40912
197	69855.99261
198	69840.29505
199	69814.35713
200	69795.84575
201	69788.42297
202	69762.26297
203	69751.04279
204	69721.34309
205	69706.15519
206	69698.99713
207	69668.66539
208	69639.24209
209	69614.01031
210	69600.08008
211	69593.23383
212	69568.80389
213	69554.9103
214	69542.2042
215	69512.39885
216	69500.14102
217	69483.0462
218	69474.21894
219	69457.53597
220	69429.06796
221	69419.8167
222	69389.52029
223	69364.91873
224	69352.85395
225	69301.1641
226	69285.85641
227	69279.28955
228	69261.9273
229	69243.86658
230	69232.95762
231	69226.68016
232	69199.60425
233	69177.0626
234	69153.48857
235	69130.95309
236	69109.50107
