iter	Passed	Remaining
0	75	75884
1	102	51148
2	130	43231
3	156	39024
4	173	34536
5	186	30944
6	201	28556
7	214	26622
8	228	25153
9	241	23934
10	256	23053
11	269	22205
12	285	21671
13	301	21224
14	315	20710
15	328	20218
16	342	19812
17	356	19432
18	369	19068
19	383	18798
20	398	18571
21	411	18293
22	427	18142
23	441	17936
24	454	17706
25	467	17512
26	481	17341
27	494	17155
28	507	16997
29	520	16841
30	533	16681
31	547	16556
32	561	16456
33	575	16355
34	589	16239
35	602	16143
36	617	16066
37	630	15960
38	643	15855
39	656	15762
40	669	15661
41	682	15575
42	696	15500
43	709	15426
44	722	15334
45	736	15284
46	751	15239
47	763	15137
48	778	15101
49	792	15061
50	808	15038
51	821	14971
52	834	14914
53	847	14847
54	861	14798
55	875	14758
56	889	14712
57	904	14687
58	918	14641
59	929	14567
60	943	14517
61	957	14481
62	970	14427
63	984	14396
64	997	14346
65	1009	14290
66	1023	14250
67	1036	14212
68	1051	14181
69	1063	14131
70	1076	14079
71	1090	14053
72	1103	14019
73	1117	13988
74	1131	13952
75	1143	13902
76	1158	13885
77	1173	13873
78	1190	13884
79	1204	13847
80	1216	13806
81	1231	13790
82	1245	13758
83	1257	13716
84	1271	13690
85	1286	13673
86	1301	13658
87	1316	13643
88	1329	13605
89	1341	13564
90	1355	13537
91	1370	13528
92	1385	13510
93	1399	13484
94	1412	13458
95	1424	13409
96	1437	13383
97	1451	13361
98	1466	13342
99	1481	13332
100	1496	13321
101	1509	13291
102	1522	13257
103	1536	13233
104	1550	13215
105	1564	13196
106	1577	13163
107	1590	13134
108	1603	13107
109	1617	13086
110	1631	13065
111	1644	13039
112	1659	13029
113	1672	12998
114	1685	12967
115	1697	12939
116	1711	12913
117	1723	12885
118	1736	12853
119	1750	12835
120	1765	12825
121	1779	12803
122	1792	12777
123	1805	12758
124	1820	12742
125	1833	12717
126	1846	12692
127	1858	12664
128	1873	12647
129	1885	12616
130	1899	12599
131	1912	12574
132	1928	12568
133	1941	12547
134	1954	12524
135	1967	12502
136	1981	12481
137	1995	12463
138	2010	12451
139	2023	12432
140	2038	12417
141	2051	12394
142	2064	12370
143	2077	12349
144	2091	12331
145	2103	12306
146	2115	12275
147	2129	12257
148	2142	12235
149	2155	12211
150	2169	12196
151	2183	12184
152	2195	12155
153	2209	12137
154	2223	12122
155	2237	12107
156	2251	12087
157	2263	12061
158	2275	12036
159	2289	12017
160	2301	11995
161	2315	11976
162	2327	11952
163	2341	11933
164	2354	11913
165	2367	11893
166	2381	11881
